county_fips,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage,white_difference,black_difference,hispanic_difference,asian_difference,other_difference
08001,0.019083200161246202,2651.0,0.03830317165522107,5321.0,0.2789919232928778,38757.0,0.0005542838221108856,77.0,0.663067421068544,92112.0,479977,247948,14393,17632,194494,4106,0.516583086272884,0.02998685353673197,0.40521524989739094,0.036735093556566255,0.008554576573460811,0.14648433479566003,0.0083163181184891,-0.12622332660451313,-0.017651893395320053,-0.008000292751349926
08003,0.0066081569437274135,192.0,0.016554809843400447,481.0,0.3508862502151093,10195.0,0.0014111168473584582,41.0,0.6245396661504045,18146.0,16353,8031,274,161,7739,243,0.49110254999082736,0.016755335412462546,0.47324649911331257,0.009845288326300985,0.014859658778205834,0.1334371161595771,-0.00020052556906209953,-0.1223602488982033,-0.0032371313825735716,-0.013448541930847376
08005,0.037402226808326326,2936.0,0.12057632041580678,9465.0,0.13013070396698004,10215.0,0.00038217534204693115,30.0,0.7115085734668399,55852.0,617668,382460,62039,33918,124122,4854,0.6191999585537862,0.10044068982042133,0.20095261532085198,0.05491299533082497,0.007858590699210579,0.09230861491305375,0.02013563059538545,-0.07082191135387195,-0.017510768522498645,-0.007476415357163648
08007,0.006864370830280359,178.0,0.0060159654467625626,156.0,0.08595889090278046,2229.0,0.007597084570591184,197.0,0.8935636882495854,23171.0,12355,9486,105,89,2322,261,0.7677863213273978,0.0084985835694051,0.18794010522055848,0.007203561311210037,0.02112505058680696,0.12577736692218766,-0.0024826181226425374,-0.10198121431777803,-0.00033919048092967766,-0.013527966016215776
08009,0.01182205971968312,97.0,0.05691651432053626,467.0,0.19463741620962827,1597.0,0.0006093845216331506,5.0,0.7360146252285192,6039.0,3648,3149,45,0,367,60,0.8632127192982456,0.012335526315789474,0.1006030701754386,0.0,0.01644736842105263,-0.12719809406972638,0.04458098800474679,0.09403434603418967,0.01182205971968312,-0.01583798389941948
08011,0.007447086490723805,57.0,0.027044682518944343,207.0,0.2158348575908022,1652.0,0.0009145544813169584,7.0,0.7487588189182127,5731.0,5816,3411,472,34,1933,41,0.5864855570839065,0.0811554332874828,0.3323590096286107,0.005845942228335626,0.007049518569463549,0.16227326183430624,-0.054110750768538454,-0.1165241520378085,0.0016011442623881786,-0.00613496408814659
08013,0.02639936767981605,1837.0,0.017805561543436085,1239.0,0.09842638499676655,6849.0,0.00020119278580153768,14.0,0.8571674929941798,59646.0,313961,246248,2667,13978,44534,1279,0.784326715738579,0.008494685645669367,0.14184564324868376,0.04452145330152471,0.004073754383506232,0.07284077725560079,0.009310875897766718,-0.04341925825191721,-0.01812208562170866,-0.003872561597704694
08014,0.031041485349579345,107.0,0.023208587177255584,80.0,0.11604293588627793,400.0,0.0002901073397156948,1.0,0.8294168842471714,2859.0,62449,48769,582,3888,8201,388,0.7809412480584157,0.009319604797514772,0.13132315969831382,0.06225880318339765,0.006213069865009848,0.04847563618875572,0.013888982379740813,-0.015280223812035892,-0.031217317833818307,-0.005922962525294153
08015,0.008047179129626401,277.0,0.009005868340015107,310.0,0.059903550055197256,2062.0,0.0009877403985823021,34.0,0.922055662076579,31739.0,18507,16164,237,67,1978,57,0.8733992543361971,0.012805965310423084,0.10687847841357324,0.003620251796617496,0.0030799157075701088,0.048656407740381824,-0.0038000969704079773,-0.04697492835837599,0.004426927333008906,-0.0020921753089878066
08017,0.010543840177580466,38.0,0.038013318534961156,137.0,0.15760266370699222,568.0,0.0002774694783573807,1.0,0.7935627081021087,2860.0,2071,1745,6,38,271,5,0.8425881216803477,0.0028971511347175277,0.13085465958474168,0.01834862385321101,0.0024142926122646064,-0.049025413578238974,0.03511616740024363,0.026748004122250535,-0.007804783675630544,-0.0021368231339072255
08019,0.018794294428994347,838.0,0.025432851888400467,1134.0,0.08663766035704674,3863.0,0.00026913070781376156,12.0,0.8688660626177447,38741.0,9238,8358,105,39,565,35,0.9047412859926391,0.011366096557696471,0.06116042433427149,0.0042216930071444034,0.0037886988525654905,-0.03587522337489446,0.014066755330703996,0.025477236022775254,0.014572601421849943,-0.003519568144751729
08021,0.0036385237989158686,49.0,0.008242370238360436,111.0,0.42800920769287887,5764.0,0.0010395782282616767,14.0,0.5590703200415831,7529.0,8213,3582,9,13,4508,147,0.4361378302690856,0.0010958236941434312,0.5488859125776209,0.0015828564470960673,0.017898453671009375,0.12293248977249749,0.007146546544217005,-0.120876704884742,0.0020556673518198013,-0.0168588754427477
08023,0.010159109583924703,136.0,0.01755434376634048,235.0,0.3041009935011578,4071.0,0.0028385747366848433,38.0,0.6653469784118922,8907.0,3590,1141,13,38,2320,8,0.31782729805013926,0.0036211699164345403,0.6462395543175488,0.010584958217270195,0.0022284122562674096,0.3475196803617529,0.01393317384990594,-0.34213856081639094,-0.0004258486333454919,0.0006101624804174337
08025,0.00587248322147651,21.0,0.01621923937360179,58.0,0.20385906040268456,729.0,0.0022371364653243847,8.0,0.7718120805369127,2760.0,5537,3334,294,33,1874,94,0.6021311179338992,0.05309734513274336,0.33845042441755463,0.005959906086328337,0.016976702185298898,0.16968096260301357,-0.03687810575914158,-0.13459136401487007,-8.742286485182663e-05,-0.014739565719974514
08027,0.0017667844522968198,1.0,0.015901060070671377,9.0,0.06890459363957598,39.0,,,0.9134275618374559,517.0,4375,3929,133,0,196,42,0.8980571428571429,0.0304,0.0448,0.0,0.0096,0.015370418980312994,-0.014498939929328623,0.024104593639575976,0.0017667844522968198,
08029,0.0053209271227991975,191.0,0.007159572097169601,257.0,0.10825718743035435,3886.0,0.0006128816581234678,22.0,0.8786494316915534,31540.0,30221,24702,217,228,4567,289,0.817378643989279,0.0071804374441613444,0.15112008206214222,0.007544422752390722,0.009562886734389993,0.061270787702274454,-2.0865346991743618e-05,-0.04286289463178787,-0.0022234956295915246,-0.008950005076266525
08031,0.020202020202020204,64.0,0.1029040404040404,326.0,0.26262626262626265,832.0,0.022727272727272728,72.0,0.5915404040404041,1874.0,663303,353952,62320,22520,211569,5286,0.5336203816355422,0.09395404513472727,0.31896282694334266,0.03395130129066203,0.007969208642204241,0.05792002240486194,0.00894999526931313,-0.05633656431708001,-0.013749281088641829,0.014758064085068487
08033,0.018104015799868336,55.0,0.016787360105332456,51.0,0.086899275839368,264.0,0.025674786043449638,78.0,0.8525345622119815,2590.0,1789,1651,0,0,98,10,0.9228619340413639,0.0,0.05477920626048072,0.0,0.005589714924538848,-0.07032737182938231,0.016787360105332456,0.032120069578887286,0.018104015799868336,0.02008507111891079
08035,0.0214101044920823,1590.0,0.04671173112140472,3469.0,0.09755736292146935,7245.0,0.000336636863083055,25.0,0.8339841646019606,61935.0,314238,263439,3164,13009,27312,1166,0.838342275600023,0.010068801354387438,0.08691501346113456,0.04139855778104494,0.0037105633309784305,-0.004358110998062381,0.03664292976701728,0.010642349460334793,-0.01998845328896264,-0.0033739264678953754
08037,0.01420094767847233,998.0,0.02406192637705081,1691.0,0.1787924925651351,12565.0,0.0002703587233376496,19.0,0.7826742746560041,55004.0,52894,35533,350,441,16163,267,0.6717775172987485,0.006617007600105872,0.30557341097288915,0.008337429576133398,0.005047831512080765,0.11089675735725568,0.01744491877694494,-0.12678091840775405,0.005863518102338932,-0.004777472788743116
08039,0.015440984035592777,177.0,0.05905958300619384,677.0,0.08845851871237896,1014.0,0.0003489487917648085,4.0,0.8366919654540697,9591.0,24225,21734,172,113,1567,139,0.897172342621259,0.007100103199174407,0.06468524251805985,0.004664602683178535,0.005737874097007224,-0.06048037716718935,0.05195947980701943,0.023773276194319112,0.010776381352414242,-0.005388925305242416
08041,0.01679722337410035,2957.0,0.08640032719650535,15210.0,0.08882021801739368,15636.0,0.0004998835498548634,88.0,0.8074823478621458,142150.0,665171,468302,38298,17614,117470,5847,0.7040324969068105,0.05757617214220103,0.17660120480297548,0.026480408797136375,0.008790220860500533,0.10344985095533532,0.028824155054304322,-0.0877809867855818,-0.009683185423036023,-0.00829033731064567
08043,0.008547008547008548,270.0,0.019974675530231085,631.0,0.07344096232985121,2320.0,0.00044317822095599874,14.0,0.8975941753719532,28355.0,46835,37224,2312,375,6357,413,0.7947902209885769,0.049364791288566245,0.13573182449023166,0.00800683249706416,0.00881819152343333,0.1028039543833763,-0.02939011575833516,-0.06229086216038045,0.000540176049944387,-0.00837501330247733
08045,0.0128507210775221,769.0,0.016209622165404988,970.0,0.20013034541535069,11976.0,0.000635016126067412,38.0,0.7701742952156548,46088.0,57495,39578,250,422,16625,485,0.6883729019914775,0.004348204191668841,0.2891555787459779,0.007339768675537003,0.008435516131837552,0.08180139322417734,0.011861417973736146,-0.08902523333062723,0.0055109524019850975,-0.00780050000577014
08047,0.07146184664120003,767.0,0.04621261529861176,496.0,0.17162023665331222,1842.0,0.00046585297680052176,5.0,0.7102394484300755,7623.0,5708,4912,17,11,645,70,0.8605466012613875,0.0029782761037140857,0.11299929922915207,0.0019271198318149966,0.012263489838822705,-0.15030715283131202,0.04323433919489767,0.05862093742416015,0.06953472680938504,-0.011797636862022183
08049,0.012419100927059647,355.0,0.0103200979534721,295.0,0.05072590519503236,1450.0,6.996676578625154e-05,2.0,0.9264649291586496,26483.0,14490,12662,115,248,1151,255,0.8738440303657695,0.007936507936507936,0.07943409247757074,0.017115251897860593,0.017598343685300208,0.05262089879288012,0.002383590016964164,-0.028708187282538385,-0.004696150970800946,-0.017528376919513956
08051,0.004634201929651295,122.0,0.007635037605409101,201.0,0.04208766998404619,1108.0,0.00041783787890298566,11.0,0.9452252526019904,24884.0,15889,13960,59,101,1439,104,0.8785952545786393,0.0037132607464283466,0.09056580023915917,0.006356598904902763,0.006545408773365222,0.06662999802335112,0.003921776858980755,-0.048478130255112974,-0.0017223969752514674,-0.006127570894462236
08053,0.015503875968992248,2.0,,,,,,,0.9844961240310077,127.0,856,800,0,0,26,12,0.9345794392523364,0.0,0.030373831775700934,0.0,0.014018691588785047,0.04991668477867128,,,0.015503875968992248,
