county_fips,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage,white_difference,black_difference,hispanic_difference,asian_difference,other_difference
25001,0.008516126390779656,832.0,0.05918298412438458,5782.0,0.02401301984707821,2346.0,0.008086225779706644,790.0,0.9002016438580509,87947.0,214703,194526,5479,3066,6352,2442,0.9060236699068015,0.0255189727204557,0.0295850547034741,0.014280191706683185,0.011373851320195805,-0.005822026048750595,0.033664011403928884,-0.005572034856395892,-0.0057640653159035295,-0.003287625540489161
25003,0.013778985079327585,1750.0,0.050643675445848586,6432.0,0.027904413212078264,3544.0,0.012416833982914058,1577.0,0.8952560922798315,113702.0,128563,115083,3210,1941,5964,441,0.8951486819691513,0.024968303477672427,0.04638970776973157,0.01509765640191968,0.0034302248702970527,0.00010741031068017826,0.02567537196817616,-0.01848529455765331,-0.0013186713225920958,0.008986609112617006
25005,0.013651352411650568,2575.0,0.11136322670257547,21006.0,0.08550252881363121,16128.0,0.010671911613457317,2013.0,0.7788109804586855,146904.0,554868,464617,18788,11948,41415,8213,0.8373469005240887,0.03386030551410425,0.07463937368887735,0.02153304930181593,0.014801718606947959,-0.0585359200654032,0.07750292118847121,0.01086315512475386,-0.00788169689016536,-0.004129806993490642
25007,0.004285408185129634,20.0,0.06813799014356117,318.0,0.01907006642382687,89.0,0.007499464323976859,35.0,0.9010070709235055,4205.0,17137,14897,604,53,328,521,0.8692886736301569,0.03524537550329696,0.019139872789869873,0.0030927233471436076,0.03040205403512867,0.03171839729334858,0.03289261464026421,-6.980636604300358e-05,0.0011926848379860263,-0.02290258971115181
25009,0.023478176715377917,6065.0,0.06164714990806155,15925.0,0.13424949191909416,34680.0,0.014915319849027388,3853.0,0.765709861608439,197802.0,769362,560502,23197,26237,152822,3565,0.7285283130697903,0.030150956246864286,0.19863471291797619,0.034102282150665096,0.004633709489161149,0.037181548538648745,0.03149619366119726,-0.06438522099888203,-0.01062410543528718,0.01028161035986624
25011,0.01433357406515808,1429.0,0.03785507944150217,3774.0,0.0396104156636174,3949.0,0.011073663938372653,1104.0,0.8971272668913497,89440.0,70916,64844,740,1055,2926,325,0.9143775734672006,0.010434880703931412,0.04126008235095042,0.014876755598172486,0.0045828867956455525,-0.017250306575850916,0.027420198737570754,-0.001649666687333018,-0.0005431815330144054,0.006490777142727101
25013,0.01529239116896901,5648.0,0.1027850130234422,37962.0,0.17739769422798876,65519.0,0.015522535157878777,5733.0,0.6890023664217213,254472.0,468072,303211,36337,9845,113089,1740,0.6477870925840469,0.07763121912868105,0.24160599224051002,0.021033088926489942,0.0037173768138235143,0.04121527383767443,0.025153793894761148,-0.06420829801252126,-0.005740697757520933,0.011805158344055263
25015,0.01507892599437336,1281.0,0.05022777300389627,4267.0,0.05845585205937401,4966.0,0.01191246924770167,1012.0,0.8643249796946547,73427.0,161035,136253,4321,8325,9169,511,0.8461079889465023,0.026832676126307946,0.05693793274753935,0.051696836091532895,0.0031732232123451425,0.018216990748152417,0.023395096877588322,0.0015179193118346548,-0.036617910097159534,0.008739246035356528
25017,0.047619965571283444,24703.0,0.08549155378378534,44349.0,0.09237151399606364,47918.0,0.03524798892729295,18285.0,0.7392689777215746,383498.0,1567610,1161178,73972,169564,127700,9983,0.7407314319250323,0.04718775715898725,0.08146158802253112,0.10816720995655807,0.006368293134134128,-0.001462454203457697,0.03830379662479809,0.01090992597353252,-0.060547244385274625,0.028879695793158824
25019,0.005885407651029947,34.0,0.0927817206162368,536.0,0.1274017656222953,736.0,0.007270209451272287,42.0,0.7666608966591657,4429.0,10694,8015,711,105,1268,152,0.7494856929119132,0.06648587993267252,0.11857116139891528,0.009818589863474846,0.014213577707125492,0.017175203747252454,0.026295840683564276,0.008830604223380015,-0.0039331822124449,-0.006943368255853205
25021,0.040090317222560026,10813.0,0.17662652567886222,47639.0,0.08135594477153747,21943.0,0.021489270195316556,5796.0,0.6804379421317237,183525.0,691218,535390,42275,69274,29028,3295,0.7745602689744769,0.0611601549728161,0.04199543414668021,0.10022019102511798,0.0047669476199983215,-0.09412232684275323,0.11546637070604612,0.039360510624857264,-0.06012987380255795,0.016722322575318235
25023,0.012276718680553052,2044.0,0.12199839033238435,20312.0,0.053857796677357746,8967.0,0.009477819020505244,1578.0,0.8023892752891996,133593.0,506657,418833,44024,6322,19736,9324,0.8266598507471524,0.08689113147553473,0.038953374768334395,0.012477869643565568,0.018402982688485503,-0.02427057545795286,0.03510725885684962,0.01490442190902335,-0.00020115096301251585,-0.00892516366798026
25025,0.04851994686470527,26408.0,0.16331937582564568,88890.0,0.11056624365435601,60178.0,0.03535922362205592,19245.0,0.6422352100332371,349550.0,767719,353628,154542,65191,197305,8902,0.46062165974790253,0.20130021531315495,0.2570015852154239,0.08491518381074326,0.011595388416855647,0.1816135502853346,-0.03798083948750927,-0.14643534156106786,-0.03639523694603799,0.023763835205200277
25027,0.027886283567315574,18340.0,0.0810526843969097,53306.0,0.10159943193481238,66819.0,0.021754038113281565,14307.0,0.7677075619876808,504899.0,813589,639034,34982,36717,93442,3945,0.7854506390818952,0.04299713983350316,0.11485160197593625,0.04512966620738481,0.004848885616693441,-0.01774307709421441,0.03805554456340654,-0.013252170041123862,-0.017243382640069235,0.016905152496588124
