county_fips,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage,white_difference,black_difference,hispanic_difference,asian_difference,other_difference
26001,,,0.016666666666666666,4.0,,,0.008333333333333333,2.0,0.975,234.0,10461,10057,26,43,152,60,0.9613803651658541,0.002485422043781665,0.014530159640569735,0.004110505687792754,0.005735589331803843,0.013619634834145855,0.014181244622885001,,,0.00259774400152949
26003,0.014783526927138331,14.0,0.021119324181626188,20.0,0.0021119324181626186,2.0,0.007391763463569166,7.0,0.9545934530095037,904.0,9396,7941,688,18,146,253,0.8451468710089399,0.07322264793529161,0.015538527032779907,0.0019157088122605363,0.026926351638995316,0.10944658200056379,-0.05210332375366542,-0.013426594614617288,0.012867818114877794,-0.01953458817542615
26005,0.014846090983383275,109.0,0.09956415145736856,731.0,0.06210841732497957,456.0,0.001089621356578589,8.0,0.82239171887769,6038.0,113666,101100,1503,743,8848,711,0.8894480319532666,0.013222951454260728,0.07784209878063801,0.006536695229884046,0.006255168652015555,-0.06705631307557658,0.08634120000310784,-0.01573368145565844,0.008309395753499229,-0.005165547295436966
26007,0.0017533606078316774,3.0,0.010520163646990065,18.0,0.005260081823495032,9.0,,,0.9824663939216832,1681.0,28929,27807,147,110,451,120,0.9612153894016385,0.005081406201389609,0.01558989249541982,0.0038024128037609317,0.004148086695011926,0.021251004520044692,0.005438757445600456,-0.010329810671924788,-0.0020490521959292546,
26009,0.006795016987542469,6.0,0.01245753114382786,11.0,0.006795016987542469,6.0,0.0022650056625141564,2.0,0.9716874292185731,858.0,23215,22096,75,62,545,203,0.951798406202886,0.0032306698255438293,0.02347620073228516,0.002670687055782899,0.008744346327805299,0.01988902301568707,0.00922686131828403,-0.01668118374474269,0.00412432993175957,-0.006479340665291142
26011,0.0020554984583761563,2.0,0.02774922918807811,27.0,0.0010277492291880781,1.0,,,0.9691675231243576,943.0,15327,14566,76,57,312,195,0.9503490572192862,0.0049585698440660275,0.020356234096692113,0.0037189273830495204,0.01272264631043257,0.018818465905071413,0.02279065934401208,-0.019328484867504034,-0.0016634289246733641,
26013,0.02807486631016043,21.0,0.0213903743315508,16.0,0.004010695187165776,3.0,0.04946524064171123,37.0,0.8970588235294118,671.0,8612,6299,1552,36,160,347,0.731421272642824,0.1802136553646075,0.018578727357176035,0.0041802136553646075,0.04029261495587552,0.16563755088658783,-0.1588232810330567,-0.01456803217001026,0.02389465265479582,0.009172625685835711
26015,0.006263048016701462,6.0,0.030271398747390398,29.0,0.012526096033402923,12.0,,,0.9509394572025052,911.0,59316,56251,282,301,1632,204,0.9483276013217344,0.004754197855553308,0.02751365567469148,0.005074516150785623,0.003439206959336435,0.0026118558807707304,0.02551720089183709,-0.014987559641288558,0.0011885318659158386,
26017,0.0021510516252390057,9.0,0.06907265774378585,289.0,0.011711281070745698,49.0,0.0002390057361376673,1.0,0.9168260038240917,3836.0,106107,96048,1436,620,5688,274,0.9051994684610818,0.013533508628082972,0.05360626537363228,0.005843158321317161,0.0025822990000659712,0.011626535363009949,0.055539149115702874,-0.04189498430288658,-0.003692106696078155,-0.002343293263928304
26019,0.001976284584980237,2.0,0.00691699604743083,7.0,0.0029644268774703555,3.0,0.010869565217391304,11.0,0.9772727272727273,989.0,17462,16437,75,66,416,208,0.9413011109838506,0.004295040659718245,0.0238231588592372,0.003779635780552056,0.0119115794296186,0.035971616288876684,0.0026219553877125847,-0.020858731981766843,-0.001803351195571819,-0.0010420142122272956
26021,0.013000909528650153,243.0,0.21218768391204323,3966.0,0.052966668450056174,990.0,0.001070033706061741,20.0,0.7207747044031887,13472.0,155134,116825,22783,2872,8358,721,0.7530586460737169,0.1468601338197945,0.05387600397076076,0.01851302744723916,0.00464759498240231,-0.03228394167052817,0.06532755009224872,-0.0009093355207045878,-0.005512117918589007,-0.0035775612763405693
