county_fips,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage,white_difference,black_difference,asian_difference,other_difference
28001,0.001049317943336831,1.0,0.6117523609653726,583.0,0.01049317943336831,10.0,0.37670514165792235,359.0,31747,11891,16933,42,2596,15,0.37455507607017985,0.5333732321164204,0.08177150596906795,0.0013229596497306832,0.0004724855891895297,0.0021500655877425,0.07837912884895215,-0.0002736417063938521,0.01002069384417878
28003,0.0005839416058394161,2.0,0.13664233576642335,468.0,0.022773722627737226,78.0,0.84,2877.0,37309,31071,4282,92,1257,69,0.8328017368463373,0.11477123482269694,0.03369160256238441,0.002465892948082232,0.001849419711061674,0.007198263153662676,0.021871100943726407,-0.0018819513422428159,0.020924302916675554
28005,,,0.5412125340599455,1589.0,0.005449591280653951,16.0,0.45333787465940056,1331.0,12692,7280,5332,18,35,0,0.5735896627797038,0.42010715411282695,0.0027576426095178067,0.0014182161991805862,0.0,-0.12025178812030324,0.12110537994711856,,0.005449591280653951
28007,0.0009339248190520663,4.0,0.48937660518328274,2096.0,0.01774457156198926,76.0,0.4919448984356759,2107.0,19085,10428,7990,51,389,5,0.5463976945244957,0.4186533927167933,0.020382499345035367,0.0026722556981922975,0.00026198585276395077,-0.05445279608881981,0.07072321246648944,-0.0017383308791402313,0.017482585709225312
28009,,,0.5654205607476636,121.0,,,0.43457943925233644,93.0,8378,5042,3098,0,190,33,0.6018142754834089,0.36977798997374073,0.0226784435426116,0.0,0.0039388875626641204,-0.1672348362310725,0.19564257077392283,,
28011,0.0006561679790026247,3.0,0.6916010498687664,3162.0,0.009405074365704287,43.0,0.2983377077865267,1364.0,33615,10865,21606,289,703,74,0.3232188011304477,0.6427487728692548,0.02091328276067232,0.008597352372452774,0.002201398185333928,-0.024881093343921024,0.04885227699951156,-0.00794118439345015,0.007203676180370359
28013,0.001184834123222749,2.0,0.43009478672985785,726.0,0.016587677725118485,28.0,0.5521327014218009,932.0,14724,9629,3999,5,821,74,0.6539663135017658,0.27159739201303995,0.05575930453681065,0.0003395816354251562,0.005025808204292312,-0.10183361207996489,0.1584973947168179,0.0008452524877975927,0.011561869520826173
28015,,,0.5991140642303433,1082.0,0.009966777408637873,18.0,0.3909191583610188,706.0,10301,6648,3442,53,65,24,0.6453742355111154,0.3341423162799728,0.006310066983787982,0.005145131540627124,0.0023298708863217165,-0.2544550771500966,0.2649717479503705,,0.007636906522316156
28017,0.00025406504065040653,1.0,0.6082317073170732,2394.0,0.017022357723577235,67.0,0.3744918699186992,1474.0,17357,8873,7533,90,811,8,0.5112058535461197,0.4340035720458605,0.046724664400530046,0.0051852278619577115,0.0004609091432851299,-0.1367139836274205,0.17422813527121273,-0.004931162821307305,0.016561448580292105
28019,,,0.39807383627608345,248.0,0.016051364365971106,10.0,0.5858747993579454,365.0,8320,5621,2612,11,22,27,0.6756009615384615,0.3139423076923077,0.0026442307692307694,0.0013221153846153847,0.003245192307692308,-0.0897261621805161,0.08413152858377576,,0.012806172058278798
