county_fips,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage,white_difference,black_difference,hispanic_difference,asian_difference,other_difference
37001,0.009894219065664487,1577.0,0.27829294919252634,44356.0,0.07410939480255481,11812.0,0.022091024305773404,3521.0,0.615612412633481,98120.0,156372,102444,28814,2214,19988,848,0.6551300744378789,0.18426572532166885,0.12782339549279922,0.014158545008057709,0.0054229657483436935,-0.03951766180439786,0.09402722387085749,-0.053714000690244415,-0.004264325942393222,0.01666805855742971
37003,0.0041293874741913286,24.0,0.09394356503785271,546.0,0.06589814177563662,383.0,0.004473503097040606,26.0,0.8315554026152787,4833.0,37211,32502,2133,430,1710,71,0.8734513987799307,0.05732175969471393,0.04595415334175378,0.011555722770148612,0.0019080379457687242,-0.041895996164652005,0.03662180534313878,0.019943988433882835,-0.007426335295957284,0.0025654651512718816
37005,0.0007432181345224824,2.0,0.020438498699368264,55.0,0.13377926421404682,360.0,0.0033444816053511705,9.0,0.8416945373467113,2265.0,10868,9513,262,17,1042,10,0.8753220463746779,0.02410747147589253,0.09587780640412219,0.0015642252484357748,0.0009201324990798675,-0.03362750902796663,-0.0036689727765242645,0.03790145780992463,-0.0008210071139132924,0.002424349106271303
37007,0.008213552361396304,84.0,0.4353182751540041,4452.0,0.039601056028160754,405.0,0.023565072846387015,241.0,0.4933020436100518,5045.0,25883,11671,12612,301,949,75,0.4509137271568211,0.48726963644090715,0.03666499246609744,0.011629254723177376,0.002897654831356489,0.04238831645323071,-0.05195136128690303,0.002936063562063315,-0.0034157023617810717,0.020667418015030525
37009,0.0016789087093389296,8.0,0.017838405036726127,85.0,0.07911857292759707,377.0,0.004826862539349423,23.0,0.8965372507869884,4272.0,26992,24998,193,85,1577,107,0.9261262596324837,0.00715026674570243,0.05842471843509188,0.0031490812092471844,0.003964137522228808,-0.029589008845495313,0.010688138291023698,0.020693854492505187,-0.0014701724999082548,0.0008627250171206148
37011,0.004035683942225999,19.0,0.02655055225148683,125.0,0.055225148683092605,260.0,0.004248088360237893,20.0,0.9099405267629567,4284.0,17633,15731,651,85,944,89,0.8921340668065559,0.03691941246526399,0.053535983666988037,0.004820507003913117,0.005047354392332558,0.017806459956400733,-0.010368860213777163,0.0016891650161045685,-0.0007848230616871186,-0.0007992660320946653
37013,0.0029890515312483985,175.0,0.26693084188771415,15628.0,0.06784292961210651,3972.0,0.015047739423027654,881.0,0.6471894375459033,37891.0,47513,31323,11994,34,3937,70,0.6592511523162082,0.2524361753625324,0.08286153263317408,0.0007155936270073454,0.0014732809967798286,-0.012061714770304932,0.014494666525181776,-0.01501860302106757,0.002273457904241053,0.013574458426247825
37015,0.004391033048301364,38.0,0.5419459209614051,4690.0,0.027039519297434714,234.0,0.013866420152530621,120.0,0.41275710654032816,3572.0,20324,7020,12579,113,419,109,0.34540444794331826,0.6189234402676639,0.02061602046841173,0.00555992914780555,0.005363117496555796,0.0673526585970099,-0.07697751930625873,0.006423498829022985,-0.0011688960995041861,0.008503302655974824
37017,0.0044505669174525805,84.0,0.38915969057963334,7345.0,0.07152696831620219,1350.0,0.048638338455017485,918.0,0.4862244357316944,9177.0,34454,18688,11963,20,2741,941,0.5424043652406106,0.34721657862657457,0.07955534916120044,0.0005804841237592152,0.027311778022871075,-0.05617992950891626,0.041943111953058776,-0.008028380844998254,0.0038700827936933653,0.02132656043214641
37019,0.003576725115589287,82.0,0.1637006019366658,3753.0,0.0449271569397191,1030.0,0.01718572799441682,394.0,0.770609788013609,17667.0,119167,97089,12401,792,5714,1004,0.8147305881661869,0.1040640445760991,0.04794951622512944,0.006646135255565719,0.008425151258318159,-0.04412080015257791,0.05963655736056671,-0.0030223592854103434,-0.0030694101399764318,0.008760576736098662
37021,0.004910334435344016,756.0,0.08514493930281045,13109.0,0.05793025506459428,8919.0,0.012587603354096167,1938.0,0.8394268678431551,129239.0,250112,209841,15143,2872,16683,1278,0.8389881333162743,0.060544875895598774,0.06670211745138178,0.011482855680655067,0.005109710849539407,0.00043873452688081294,0.024600063407211673,-0.008771862386787503,-0.006572521245311051,0.00747789250455676
37023,0.02051379608272101,2588.0,0.07645114498371103,9645.0,0.04161415356811642,5250.0,0.009876425780166297,1246.0,0.8515444795852852,107430.0,89082,73303,5441,3237,5260,661,0.8228710626164657,0.06107855683527536,0.059046720998630474,0.03633730720010776,0.007420129768078849,0.02867341696881953,0.015372588148435666,-0.01743256743051405,-0.01582351111738675,0.0024562960120874484
37025,0.01357169720784863,2093.0,0.24142447703899675,37232.0,0.06353343967630237,9798.0,0.017994008481500214,2775.0,0.663476377595352,102320.0,192296,132653,31254,5216,19528,888,0.6898375421225611,0.1625306818654574,0.10155177434788035,0.027124849190830802,0.004617880767150643,-0.026361164527209047,0.07889379517353934,-0.038018334671577975,-0.013553151982982172,0.01337612771434957
37027,0.007865499950840625,160.0,0.062334087110411954,1268.0,0.0421295841116901,857.0,0.010765903057713105,219.0,0.8769049257693442,17838.0,81623,71986,3927,466,4186,468,0.8819327885522463,0.04811143917768276,0.051284564399740266,0.005709175109956752,0.005733678007424378,-0.005027862782902126,0.01422264793272919,-0.009154980288050167,0.0021563248408838723,0.005032225050288728
37029,0.009073233959818535,56.0,0.2754374594944913,1700.0,0.02576150356448477,159.0,0.012475696694750486,77.0,0.6772521062864549,4180.0,10228,8228,1450,206,299,9,0.8044583496284708,0.1417676965193586,0.029233476730543606,0.020140789988267502,0.0008799374266718811,-0.1272062433420159,0.13366976297513267,-0.0034719731660588365,-0.011067556028448966,0.011595759268078605
37031,0.004527722508577606,578.0,0.10207742562158266,13031.0,0.03246173369471557,4144.0,0.008593272650362688,1097.0,0.8523398455247615,108808.0,68537,59183,3915,802,2958,308,0.8635189751521076,0.05712243022017305,0.0431591694996863,0.011701708566175934,0.004493922990501481,-0.01117912962734613,0.04495499540140961,-0.010697435804970734,-0.007173986057598328,0.004099349659861207
37033,0.009814883836501429,79.0,0.28711641197664306,2311.0,0.0506895266492732,408.0,0.02012672381662318,162.0,0.6322524537209592,5089.0,23094,14137,7506,133,833,55,0.612150342080194,0.3250194855806703,0.03606997488525158,0.005759071620334286,0.00238157097081493,0.02010211164076514,-0.037903073604027226,0.014619551764021625,0.004055812216167143,0.01774515284580825
37035,0.018942290722983705,644.0,0.12515442084828518,4255.0,0.09377022177775163,3188.0,0.01323607271015942,450.0,0.7488969939408201,25461.0,155461,119163,12964,6098,14397,779,0.766513788024006,0.08339068962633715,0.0926084355561845,0.03922527193315365,0.005010903056071941,-0.01761679408318595,0.04176373122194803,0.0011617862215671237,-0.020282981210169946,0.00822516965408748
37037,0.015021337126600285,264.0,0.2636699857752489,4634.0,0.10634423897581792,1869.0,0.02458036984352774,432.0,0.5903840682788051,10376.0,68778,49321,8043,975,8738,432,0.7171043066096717,0.11694146384018145,0.1270464392683707,0.014176044665445345,0.006281078251766554,-0.12672023833086665,0.14672852193506747,-0.020702200292552778,0.0008452924611549398,0.018299291591761184
37039,0.004538005798562965,36.0,0.03227026345644775,256.0,0.021051304676667087,167.0,0.016261187444850625,129.0,0.9258792386234715,7345.0,27226,24968,375,166,787,380,0.9170645706310144,0.013773598765885551,0.02890619261000514,0.00609711305369867,0.01395724674943069,0.008814667992457115,0.018496664690562197,-0.007854887933338054,-0.0015591072551357048,0.0023039406954199343
37041,0.0051740357478833494,11.0,0.3254938852304798,692.0,0.03433678269049859,73.0,0.008936970837253057,19.0,0.6260583254938852,1331.0,14556,8736,4878,36,496,252,0.6001648804616653,0.3351195383347073,0.03407529541082715,0.00247320692497939,0.01731244847485573,0.02589344503221991,-0.009625653104227527,0.0002614872796714435,0.0027008288229039596,-0.008375477637602671
37043,0.003960918933192501,15.0,0.03564827039873251,135.0,0.02667018748349617,101.0,0.0052812252442566675,20.0,0.9284393979403222,3516.0,10730,10317,45,12,338,0,0.9615097856477167,0.004193849021435228,0.031500465983224604,0.0011183597390493941,0.0,-0.033070387707394566,0.03145442137729728,-0.004830278499728433,0.0028425591941431067,0.0052812252442566675
37045,0.008950793680057521,971.0,0.2561162220460537,27784.0,0.038411902435427074,4167.0,0.01241680647480688,1347.0,0.6841042753636548,74213.0,97113,71438,20026,961,3283,316,0.7356172706022881,0.20621338028894176,0.033805978602246864,0.009895688527797514,0.003253941284894916,-0.051512995238633286,0.04990284175711196,0.00460592383318021,-0.0009448948477399927,0.009162865189911964
37047,0.004938601174586226,111.0,0.27767396333867234,6241.0,0.04885210891617726,1098.0,0.05485851575013347,1233.0,0.6136768108204307,13793.0,57015,34132,17336,178,2835,1971,0.5986494782074893,0.30406033499956153,0.049723756906077346,0.0031219854424274314,0.0345698500394633,0.015027332612941424,-0.026386371660889196,-0.0008716479899000887,0.0018166157321587943,0.020288665710670173
37049,0.00689249390602673,164.0,0.237412793141128,5649.0,0.04896192317390939,1165.0,0.018323947213583255,436.0,0.6884088425653526,16380.0,104190,69104,21795,2743,7474,661,0.6632498320376236,0.20918514252807371,0.07173433150974182,0.026326902773778672,0.006344178903925521,0.025159010527729064,0.028227650613054295,-0.022772408335832425,-0.019434408867751943,0.011979768309657735
