county_fips,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage,white_difference,black_difference,hispanic_difference,asian_difference,other_difference
38001,0.00045662100456621003,1.0,0.00821917808219178,18.0,0.00502283105022831,11.0,0.0502283105022831,110.0,0.9360730593607306,2050.0,2348,2186,21,38,20,68,0.9310051107325383,0.008943781942078365,0.008517887563884156,0.016183986371379896,0.028960817717206135,0.005067948628192265,-0.0007246038598865846,-0.003495056513655846,-0.015727365366813687,0.021267492785076968
38003,0.004060186290900406,34.0,0.029137807499402913,244.0,0.010628134702651063,89.0,0.017434917602101745,146.0,0.9387389539049439,7861.0,11033,10295,88,40,202,225,0.9331097616242182,0.007976071784646061,0.01830871023293755,0.003625487174839119,0.020393365358470045,0.00562919228072567,0.021161735714756852,-0.007680575530286487,0.00043469911606128665,-0.002958447756368301
38005,0.007075471698113208,18.0,0.020833333333333332,53.0,0.01611635220125786,41.0,0.07665094339622641,195.0,0.8793238993710691,2237.0,6802,2823,0,7,223,3713,0.4150249926492208,0.0,0.03278447515436636,0.0010291090855630697,0.5458688620993826,0.4642989067218483,0.020833333333333332,-0.0166681229531085,0.006046362612550138,-0.46921791870315616
38007,0.00402930402930403,11.0,0.023809523809523808,65.0,0.040293040293040296,110.0,0.023076923076923078,63.0,0.9087912087912088,2481.0,936,887,8,0,48,11,0.9476495726495726,0.008547008547008548,0.05128205128205128,0.0,0.011752136752136752,-0.03885836385836383,0.01526251526251526,-0.010989010989010985,0.00402930402930403,0.011324786324786326
38009,0.0013003901170351106,6.0,0.01907238838318162,88.0,0.012570437798006068,58.0,0.11443433029908973,528.0,0.8526224534026875,3934.0,6650,6146,54,18,160,189,0.9242105263157895,0.0081203007518797,0.02406015037593985,0.002706766917293233,0.028421052631578948,-0.07158807291310199,0.010952087631301921,-0.011489712577933783,-0.0014063768002581223,0.08601327766751078
38011,0.0025887573964497044,7.0,0.01960059171597633,53.0,0.04992603550295858,135.0,0.02625739644970414,71.0,0.9016272189349113,2438.0,3238,3012,4,0,154,41,0.9302038295243977,0.0012353304508956147,0.04756022235948116,0.0,0.01266213712168005,-0.028576610589486462,0.018365261265080715,0.0023658131434774188,0.0025887573964497044,0.01359525932802409
38013,0.005361930294906166,4.0,0.01876675603217158,14.0,0.01876675603217158,14.0,0.036193029490616625,27.0,0.920911528150134,687.0,2239,2094,10,1,79,34,0.9352389459580169,0.0044662795891022775,0.03528360875390799,0.00044662795891022776,0.015185350602947744,-0.014327417807882936,0.014300476443069303,-0.016516852721736412,0.004915302335995938,0.02100767888766888
38015,0.003245378862706364,46.0,0.024481444899111048,347.0,0.018625652603358262,264.0,0.05136164808804854,728.0,0.9022858755467758,12789.0,90560,81953,1072,684,1915,3476,0.904958038869258,0.011837455830388692,0.021146201413427563,0.007553003533568904,0.03838339222614841,-0.0026721633224822128,0.012643989068722356,-0.0025205488100693008,-0.00430762467086254,0.012978255861900129
38017,0.007090434133598706,285.0,0.03570095783057594,1435.0,0.012513994277895261,503.0,0.03209354397313099,1290.0,0.9126010697847992,36682.0,166852,146666,6275,4525,4637,1751,0.8790185313930908,0.037608179704168965,0.027791096300913386,0.027119842734878816,0.010494330304701172,0.03358253839170833,-0.001907221873593025,-0.015277102023018125,-0.020029408601280108,0.021599213668429817
38019,0.0036144578313253013,6.0,0.00783132530120482,13.0,0.009036144578313253,15.0,0.03493975903614458,58.0,0.944578313253012,1568.0,3867,3710,5,10,50,38,0.9594000517196793,0.0012929919834497026,0.012929919834497027,0.002585983966899405,0.00982673907421774,-0.014821738466667345,0.006538333317755118,-0.003893775256183774,0.0010284738644258961,0.02511301996192684
