county_fips,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage,white_difference,black_difference,hispanic_difference,asian_difference,other_difference
51001,0.011826650465775617,584.0,0.3055488051842851,15088.0,0.1257189145402997,6208.0,0.0042122316727420004,208.0,0.5526933981368976,27292.0,33060,20031,9547,62,3002,156,0.6058983666061706,0.288777979431337,0.09080459770114943,0.0018753781004234725,0.004718693284936479,-0.05320496846927303,0.016770825752948137,0.03491431683915028,0.009951272365352145,-0.0005064616121944789
51003,0.011515040520122704,503.0,0.1428734948033515,6241.0,0.040817728126001554,1783.0,0.013369351220182226,584.0,0.791424385330342,34571.0,104287,80744,9719,4733,6022,508,0.7742479887234267,0.09319474143469464,0.057744493561038286,0.045384371973496214,0.004871172821156999,0.01717639660691528,0.04967875336865685,-0.016926765435036732,-0.03386933145337351,0.008498178399025228
51005,0.018180185841899718,810.0,0.1228172554652781,5472.0,0.021703999640885218,967.0,0.013556583022848678,604.0,0.8237419760290883,36701.0,15919,14636,829,23,292,21,0.9194044852063572,0.05207613543564294,0.01834286073245807,0.001444814372762108,0.0013191783403480118,-0.09566250917726893,0.07074112002963515,0.003361138908427149,0.01673537146913761,0.012237404682500667
51007,0.005443886097152429,104.0,0.2048785594639866,3914.0,0.03198283082077052,611.0,0.004292294807370184,82.0,0.7534024288107203,14393.0,12793,9237,3010,16,152,98,0.7220354881575862,0.23528492144141328,0.011881497694051434,0.001250683967794888,0.0076604393027436875,0.03136694065313406,-0.030406361977426688,0.020101333126719086,0.00419320212935754,-0.0033681444953735035
51009,0.011414706774380326,414.0,0.22181477294659352,8045.0,0.020210096776861784,733.0,0.0046596266784306156,169.0,0.7419007968237338,26908.0,31999,24195,5710,185,722,143,0.7561173786680834,0.17844307634613582,0.02256320510015938,0.005781430669708428,0.00446888965280165,-0.014216581844349596,0.0433716966004577,-0.0023531083232975966,0.0056332761046718974,0.00019073702562896581
51011,0.007679054885552547,156.0,0.25050455328574944,5089.0,0.015259660349495446,310.0,0.0016736401673640166,34.0,0.7248830913118386,14726.0,23302,19287,3149,51,294,97,0.8276971933739593,0.1351386147111836,0.012616942751695134,0.0021886533344777272,0.004162732812634109,-0.10281410206212072,0.11536593857456584,0.002642717597800312,0.00549040155107482,-0.0024890926452700926
51013,0.07470157874470543,4074.0,0.265599501256028,14485.0,0.12591451675009627,6867.0,0.06250802207675522,3409.0,0.47127638117241505,25702.0,226092,142177,18996,22565,35833,1678,0.6288457795941476,0.08401889496311236,0.15848857987014137,0.09980450436105656,0.007421757514640058,-0.1575693984217325,0.18158060629291561,-0.0325740631200451,-0.025102925616351135,0.05508626456211516
51015,0.013834767872700987,1445.0,0.1003571189215583,10482.0,0.0354055166735282,3698.0,0.00532327400499775,556.0,0.8450793225272147,88266.0,74330,68122,2932,438,2065,307,0.9164805596663528,0.03944571505448675,0.027781514866137495,0.005892640925602045,0.004130230055159424,-0.07140123713913804,0.06091140386707155,0.007624001807390708,0.007942126947098942,0.0011930439498383256
51017,0.006207863293505107,93.0,0.05313396969494693,796.0,0.014885521660770309,223.0,0.002803551164808758,42.0,0.9229690941859688,13827.0,4558,4178,96,0,160,0,0.9166301009214568,0.02106186924089513,0.035103115401491886,0.0,0.0,0.006338993264512038,0.0320721004540518,-0.020217593740721577,0.006207863293505107,0.002803551164808758
51019,0.009666467981444528,373.0,0.1262342239614378,4871.0,0.020525047295721358,792.0,0.0015549278254334362,60.0,0.8420193329359629,32491.0,76933,67997,5333,960,1600,86,0.8838469837390976,0.06932005771255507,0.020797317146088155,0.012478390287652893,0.0011178557966022382,-0.041827650803134775,0.05691416624888272,-0.0002722698503667964,-0.0028119223062083656,0.000437072028831198
51021,0.009885344055624813,563.0,0.12055554580092356,6866.0,0.02586343125032922,1473.0,0.010798377609607923,615.0,0.8328973012835145,47436.0,6612,6251,286,3,46,4,0.9454022988505747,0.04325468844525106,0.0069570477918935265,0.00045372050816696913,0.0006049606775559589,-0.11250499756706023,0.0773008573556725,0.01890638345843569,0.009431623547457843,0.010193416932051964
51023,0.027351155792879132,3145.0,0.1567147304889291,18020.0,0.062120605986815784,7143.0,0.010818708364496547,1244.0,0.7429947993668794,85434.0,33192,30934,982,239,546,149,0.9319715594119065,0.029585442275247047,0.016449746926970356,0.007200530248252591,0.004489033502048686,-0.18897676004502706,0.12712928821368205,0.04567085905984543,0.02015062554462654,0.006329674862447861
51025,0.023829592947704842,1357.0,0.45880307659888314,26127.0,0.06518456081199733,3712.0,0.025339795595827625,1443.0,0.426842974045587,24307.0,16573,6772,9071,117,354,53,0.40861642430459183,0.5473360284800579,0.02136004344415616,0.0070596753756109335,0.0031979726060459785,0.01822654974099519,-0.08853295188117477,0.043824517367841175,0.01676991757209391,0.022141822989781648
51027,0.0014625896978838154,32.0,0.003519356460532931,77.0,0.002513826043237808,55.0,0.00018282371223547693,4.0,0.9923214040861099,21711.0,23158,22083,647,116,64,21,0.9535797564556525,0.02793850937041195,0.0027636238017099924,0.0050090681405993605,0.0009068140599360912,0.0387416476304574,-0.02441915290987902,-0.0002497977584721843,-0.0035464784427155453,-0.0007239903477006143
51029,0.0049085229808121375,99.0,0.25975506966136147,5239.0,0.02047696960682235,413.0,0.004561455699340572,92.0,0.7102979820516634,14326.0,17030,10380,5818,75,426,34,0.6095126247798004,0.3416324133881386,0.025014679976512036,0.004403992953611274,0.001996476805637111,0.100785357271863,-0.08187734372677713,-0.0045377103696896855,0.0005045300272008635,0.0025649788937034614
51031,0.008549572521373932,399.0,0.21560350553900876,10062.0,0.01767768754419422,825.0,0.0022713150056782876,106.0,0.7558979193897448,35277.0,55061,44296,7694,449,1285,206,0.8044895661175787,0.13973592924211328,0.02333775267430668,0.008154592179582644,0.0037413050979822377,-0.04859164672783389,0.07586757629689547,-0.005660065130112461,0.0003949803417912876,-0.00146999009230395
51033,0.018828341237240625,1068.0,0.34742520670627436,19707.0,0.0607866297621776,3448.0,0.05489836574229149,3114.0,0.518061456552016,29386.0,29640,18829,8414,238,1256,308,0.6352564102564102,0.2838731443994602,0.04237516869095816,0.008029689608636977,0.01039136302294197,-0.11719495370439426,0.06355206230681415,0.018411461071219437,0.010798651628603648,0.04450700271934952
51035,0.011268105932036152,571.0,0.1076883608951336,5457.0,0.047124758258673086,2388.0,0.00813040217863204,412.0,0.8257883727355251,41846.0,29733,28325,203,73,1039,8,0.952645209027007,0.006827430800793731,0.034944337941008305,0.0024551844751622776,0.000269061312346551,-0.12685683629148192,0.10086093009433987,0.01218042031766478,0.008812921456873873,0.00786134086628549
51036,0.01243666513127591,108.0,0.5669046522339936,4923.0,0.019345923537540305,168.0,0.005642561031782589,49.0,0.39567019806540765,3436.0,7086,2907,3327,56,135,457,0.4102455546147333,0.4695173581710415,0.01905165114309907,0.007902907140841095,0.06449336720293536,-0.014575356549325624,0.09738729406295205,0.0002942723944412348,0.004533757990434815,-0.05885080617115277
51037,0.012185060607983753,192.0,0.35114552262486515,5533.0,0.02519515136129974,397.0,0.003300120581328933,52.0,0.6081741448245225,9583.0,12232,8230,3750,16,116,21,0.6728253760627861,0.3065729234793983,0.00948332243296272,0.0013080444735120995,0.0017168083714846304,-0.06465123123826366,0.04457259914546685,0.01571182892833702,0.010877016134471654,0.0015833122098443027
51041,0.016062715859876103,1758.0,0.3708769621548526,40591.0,0.08320998483270288,9107.0,0.016693163751987282,1827.0,0.5131571734005811,56163.0,331839,210157,73814,11414,27879,1699,0.6333101293096953,0.22243919491078504,0.0840136331172647,0.03439619815633485,0.005119952748170046,-0.12015295590911423,0.14843776724406757,-0.0008036482845618226,-0.018333482296458748,0.011573211003817235
51043,0.015212740670311385,192.0,0.08969178353537755,1132.0,0.08145154900562554,1028.0,0.013152682037873386,166.0,0.8004912447508121,10103.0,14307,12517,642,119,675,58,0.8748864192353394,0.044873139022855946,0.04717970224365695,0.008317606765918781,0.0040539596001957084,-0.07439517448452726,0.0448186445125216,0.03427184676196859,0.006895133904392604,0.009098722437677677
51045,0.001534134492457172,12.0,0.009460496036819227,74.0,0.004218869854257223,33.0,0.000767067246228586,6.0,0.9840194323702378,7697.0,5195,5097,8,9,1,0,0.9811357074109721,0.0015399422521655437,0.00019249278152069297,0.0017324350336862368,0.0,0.002883724959265699,0.007920553784653683,0.004026377072736531,-0.00019830054122906482,0.000767067246228586
51047,0.02389886811023622,777.0,0.16935285433070865,5506.0,0.06502214566929133,2114.0,0.00719734251968504,234.0,0.7345287893700787,23881.0,48952,35086,6825,717,4828,176,0.7167429318516098,0.13942229122405622,0.09862722667102468,0.014647001143977774,0.003595358718744893,0.01778585751846895,0.02993056310665243,-0.033605081001733345,0.009251866966258446,0.0036019838009401467
51049,0.010366639334660888,177.0,0.2560618484245051,4372.0,0.02161180742649643,369.0,0.004978329623989692,85.0,0.7069813751903479,12071.0,9769,6144,3272,0,30,67,0.6289282423994268,0.3349370457569864,0.003070938683590951,0.0,0.006858429726686457,0.07805313279092108,-0.07887519733248133,0.01854086874290548,0.010366639334660888,-0.0018801001026967652
51051,0.0005614823133071309,9.0,0.005240501590866554,84.0,0.0039303761931499155,63.0,0.0003119346185039616,5.0,0.9899557052841724,15868.0,15304,14997,117,1,159,0,0.9799398849973863,0.007645060115002614,0.010389440669106116,6.534239414532148e-05,0.0,0.010015820286786159,-0.0024045585241360594,-0.0064590644759562,0.0004961399191618094,0.0003119346185039616
51053,0.025991928716985656,1301.0,0.4533503815878851,22692.0,0.06475006992448155,3241.0,0.029967634954249412,1500.0,0.4259399848163983,21320.0,28155,17545,9048,144,893,180,0.6231575208666311,0.32136387852956844,0.03171727934647487,0.005114544485881726,0.006393180607352157,-0.19721753605023284,0.13198650305831666,0.033032790578006684,0.02087738423110393,0.023574454346897256
