county_fips,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage,white_difference,black_difference,hispanic_difference,asian_difference,other_difference
55001,0.002840909090909091,2.0,0.017045454545454544,12.0,0.03125,22.0,0.0014204545454545455,1.0,0.9474431818181818,667.0,20294,18394,635,44,851,137,0.9063762688479353,0.0312900364639795,0.041933576426530006,0.002168128510889918,0.006750763772543609,0.04106691297024645,-0.014244581918524957,-0.010683576426530006,0.0006727805800191729,-0.005330309227089063
55003,0.002512562814070352,8.0,0.010050251256281407,32.0,0.00628140703517588,20.0,0.11400753768844221,363.0,0.8671482412060302,2761.0,15936,13217,74,89,392,1680,0.8293800200803213,0.004643574297188755,0.02459839357429719,0.005584839357429719,0.10542168674698796,0.03776822112570888,0.0054066769590926525,-0.01831698653912131,-0.003072276543359367,0.008585850941454254
55005,0.007366673583731064,71.0,0.014629591201494086,141.0,0.014940859099398216,144.0,0.014940859099398216,144.0,0.9481220170159784,9138.0,45548,42821,529,273,1062,369,0.9401290945815404,0.011614121366470536,0.023316062176165803,0.00599367700008782,0.008101343637481339,0.007992922434438055,0.00301546983502355,-0.008375203076767587,0.0013729965836432444,0.006839515461916877
55007,0.009210763951598339,51.0,0.009030160736861116,50.0,0.0054180964421166695,30.0,0.04081632653061224,226.0,0.9355246523388117,5180.0,14987,12755,83,77,258,1539,0.8510709281377193,0.005538133048642157,0.01721491959698405,0.005137786081270434,0.10268899713084674,0.08445372420109232,0.0034920276882189592,-0.01179682315486738,0.0040729778703279046,-0.0618726706002345
55009,0.023017223049117585,433.0,0.03986816925366787,750.0,0.04715075483733787,887.0,0.027004039974484372,508.0,0.8629598128853923,16234.0,256621,210514,5411,7748,22712,6165,0.820330370468512,0.021085569770205866,0.0885040585143071,0.030192384878868057,0.024023754875867526,0.04262944241688027,0.018782599483462007,-0.041353303676969225,-0.0071751618297504725,0.0029802850986168465
55011,0.009012488734389082,70.0,0.009527488090639887,74.0,0.01326123342345822,103.0,0.0025749967812540232,20.0,0.9656237929702588,7500.0,13256,12743,53,14,282,28,0.9613005431502716,0.003998189499094749,0.02127338563669282,0.001056125528062764,0.002112251056125528,0.004323249819987218,0.005529298591545138,-0.008012152213234598,0.007956363206326318,0.0004627457251284951
55013,0.0058919138561560344,29.0,0.00954896383583909,47.0,0.006095083299471759,30.0,0.050995530272247055,251.0,0.9274685087362861,4565.0,15259,13846,70,42,290,704,0.9073989121174388,0.004587456583000197,0.019005177272429386,0.002752473949800118,0.046136706206173404,0.02006959661884722,0.004961507252838893,-0.012910093972957627,0.0031394399063559165,0.004858824066073651
55015,0.014570552147239263,19.0,0.02223926380368098,29.0,0.03450920245398773,45.0,0.003067484662576687,4.0,0.9256134969325154,1207.0,49653,45477,403,1053,1969,302,0.9158963204640203,0.008116327311542102,0.03965520713753449,0.021207177814029365,0.00608221054115562,0.009717176468495126,0.014122936492138879,-0.0051460046835467566,-0.0066366256667901025,-0.0030147258785789325
55017,0.022740802476485297,382.0,0.013573044410048815,228.0,0.010953684962495535,184.0,0.00785807834265984,132.0,0.9448743898083105,15872.0,63355,59590,833,754,1171,133,0.9405729618814616,0.013148133533264935,0.018483150501144345,0.011901191697577144,0.0020992818246389393,0.004301427926848955,0.00042491087678388044,-0.00752946553864881,0.010839610778908153,0.005758796518020901
55019,0.036549420318333664,186.0,0.013951660444095107,71.0,0.018078207899390842,92.0,0.006681076832383572,34.0,0.9247396345057968,4706.0,34486,32312,137,144,1466,87,0.936959925766978,0.003972626573102128,0.0425100040596184,0.0041756074928956674,0.0025227628602911326,-0.012220291261181182,0.009979033870992979,-0.024431796160227556,0.032373812825438,0.00415831397209244
