county_fips,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage,white_difference,black_difference,hispanic_difference,asian_difference,other_difference
56001,0.01747311827956989,312.0,0.027945788530465948,499.0,0.06597222222222222,1178.0,0.0023521505376344087,42.0,0.8862567204301075,15825.0,37836,31506,509,1139,3677,316,0.8326990168093878,0.013452796278676392,0.09718257743947563,0.030103605032244424,0.008351834231948409,0.053557703620719654,0.014492992251789556,-0.031210355217253405,-0.012630486752674534,-0.005999683694314001
56003,0.014324428958575301,37.0,0.005032907471931862,13.0,0.036004645760743324,93.0,0.007742934572202865,20.0,0.9368950832365467,2420.0,11931,10492,28,64,1084,143,0.8793898248260833,0.00234682759198726,0.09085575391836392,0.005364177353113737,0.011985583773363506,0.05750525841046339,0.002686079879944602,-0.0548511081576206,0.008960251605461564,-0.004242649201160641
56005,0.010294383240021672,57.0,0.011919812172656674,66.0,0.0502076936969478,278.0,0.0036120642947444466,20.0,0.9239660465956294,5116.0,48473,42547,360,305,4286,451,0.8777463742702123,0.007426814927898005,0.08842035772491903,0.006292162647246921,0.00930414870133889,0.04621967232541713,0.0044929972447586685,-0.03821266402797123,0.004002220592774751,-0.005692084406594443
56007,0.023850387642776825,403.0,0.03255015683257383,550.0,0.06900633248505651,1166.0,0.0037284725099130025,63.0,0.8708646505296799,14715.0,15696,12231,195,46,3081,118,0.779243119266055,0.01242354740061162,0.19629204892966362,0.002930682976554536,0.007517838939857288,0.09162153126362482,0.020126609431962213,-0.12728571644460712,0.02091970466622229,-0.0037893664299442856
56009,0.015045135406218655,90.0,0.016382480775660315,98.0,0.06302240053493814,377.0,0.006519558676028084,39.0,0.8990304246071548,5378.0,14223,12637,1,123,1136,54,0.8884904731772482,7.030865499542994e-05,0.0798706320748084,0.008647964564437883,0.0037966673697532164,0.010539951429906602,0.016312172120664884,-0.016848231539870265,0.0063971708417807725,0.0027228913062748677
56011,0.018311291963377416,72.0,0.021363173957273652,84.0,0.032807731434384535,129.0,0.004832146490335707,19.0,0.9226856561546287,3628.0,7284,7047,12,10,175,7,0.9674629324546952,0.0016474464579901153,0.02402526084568918,0.0013728720483250961,0.0009610104338275673,-0.04477727630006645,0.019715727499283537,0.008782470588695353,0.016938419915052322,0.0038711360565081396
56013,0.01664598842018197,161.0,0.008995037220843672,87.0,0.029363110008271298,284.0,0.05665839536807279,548.0,0.8883374689826302,8592.0,40683,28559,210,168,3082,7816,0.7019885455841506,0.005161861219674066,0.07575645847159747,0.004129488975739252,0.19211955853796425,0.18634892339847964,0.0038331760011696067,-0.04639334846332617,0.012516499444442717,-0.13546116316989146
56015,0.008211273857079449,37.0,0.019307589880159785,87.0,0.05858854860186418,264.0,0.005326231691078562,24.0,0.908566355969818,4094.0,13546,11705,20,32,1518,62,0.8640927210984792,0.0014764506127270044,0.11206260150597963,0.002362320980363207,0.004576996899453714,0.04447363487133882,0.01783113926743278,-0.05347405290411545,0.005848952876716242,0.0007492347916248487
56017,0.015534842432312472,35.0,0.008433200177541057,19.0,0.019973368841544607,45.0,0.023524189968930315,53.0,0.9325343985796716,2101.0,4781,4505,7,0,148,66,0.9422714913198076,0.0014641288433382138,0.03095586697343652,0.0,0.013804643380046016,-0.00973709274013601,0.006969071334202843,-0.010982498131891914,0.015534842432312472,0.0097195465888843
56019,0.014243482934694974,53.0,0.02096210696049449,78.0,0.02042461703843053,76.0,0.006987368986831497,26.0,0.9373824240795485,3488.0,8572,7849,38,0,183,338,0.9156556229584695,0.004433037797480168,0.02134857676154923,0.0,0.039430704619692024,0.021726801121079053,0.016529069163014325,-0.0009239597231187023,0.014243482934694974,-0.032443335632860525
