,county_fips,state_officer_id,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage
0,30001,,0.009229349330872173,60.0,0.012921089063221043,84.0,0.023842485771419782,155.0,0.017689586217505,115.0,0.936317489616982,6087.0,9317,8534,8,154,359,209,0.9159600729848664,0.0008586454867446603,0.03853171621766663,0.01652892561983471,0.02243211334120425
1,30003,,0.00867539561410555,108.0,0.01959996786890513,244.0,0.031086834283878224,387.0,0.3135191581653145,3903.0,0.6271186440677966,7807.0,13214,3706,13,12,810,8522,0.28046011805660664,0.0009838050552444376,0.06129862267292266,0.0009081277433025579,0.6449220523686998
2,30005,,0.004162619675315666,30.0,0.009990287220757597,72.0,0.008047731372276953,58.0,0.265991397252671,1917.0,0.7118079644789788,5130.0,6609,3086,15,0,169,3204,0.46693902254501435,0.0022696323195642307,0.025571190800423665,0.0,0.48479346345891966
3,30007,,0.009041905755520779,104.0,0.007737784733089897,89.0,0.0099113197704747,114.0,0.008868022952529996,102.0,0.9644409667883846,11093.0,5692,5336,10,80,86,86,0.9374560787069571,0.0017568517217146872,0.015108924806746311,0.014054813773717497,0.015108924806746311
4,30009,,0.006251395400759098,56.0,0.006921187765126144,62.0,0.16465728957356554,1475.0,0.00759098012949319,68.0,0.8145791471310561,7297.0,10340,9801,1,24,246,124,0.9478723404255319,9.671179883945841e-05,0.02379110251450677,0.0023210831721470018,0.011992263056092843
5,30011,,0.035211267605633804,10.0,0.028169014084507043,8.0,0.035211267605633804,10.0,0.03169014084507042,9.0,0.8697183098591549,247.0,1295,1251,0,0,18,5,0.9660231660231661,0.0,0.013899613899613899,0.0,0.003861003861003861
6,30013,,0.007328863246530485,423.0,0.017395221511859592,1004.0,0.013081067969575689,755.0,0.02533049188280749,1462.0,0.9368643553892267,54073.0,82049,70666,949,665,3601,3500,0.8612658289558678,0.011566259186583628,0.043888408146351574,0.008104912917890528,0.04265743640995015
7,30015,,0.005379557680812911,54.0,0.00816895795975294,82.0,0.011954572624028692,120.0,0.11366806136680614,1141.0,0.8608288503685994,8641.0,5837,4455,3,10,146,1152,0.7632345382902176,0.0005139626520472845,0.025012849066301183,0.0017132088401576153,0.19736165838615727
8,30017,,0.008418714623486423,235.0,0.015440280862649567,431.0,0.029805832198896612,832.0,0.021745360750877695,607.0,0.9245898115640897,25809.0,11980,11110,43,45,365,239,0.9273789649415692,0.003589315525876461,0.03046744574290484,0.0037562604340567614,0.01994991652754591
9,30019,,0.0011940298507462687,2.0,0.005373134328358209,9.0,0.00955223880597015,16.0,0.02208955223880597,37.0,0.9617910447761194,1611.0,1787,1731,0,0,38,18,0.9686625629546727,0.0,0.021264689423614997,0.0,0.010072747621712367
10,30021,,0.008629179758945739,184.0,0.01875908643249074,400.0,0.0457721708952774,976.0,0.01514796229423627,323.0,0.9116916006190499,19440.0,9431,8760,62,18,272,232,0.9288516594210582,0.0065740642561764396,0.028841056091612766,0.0019085993001802565,0.024599724313434417
11,30023,,0.016686408817016017,324.0,0.014008343204408509,272.0,0.015707884843178657,305.0,0.010660761188649122,207.0,0.9429366019467477,18309.0,9176,8327,32,34,302,312,0.9074760244115083,0.0034873583260680036,0.032911944202266785,0.0037053182214472537,0.03400174367916303
12,30025,,0.003469210754553339,4.0,0.0017346053772766695,2.0,0.03295750216825672,38.0,0.005203816131830009,6.0,0.9566348655680833,1103.0,2913,2752,38,25,51,20,0.9447305183659458,0.013044970820460007,0.017507723995880537,0.008582217645039478,0.006865774116031583
13,30027,,0.0038128757882387445,26.0,0.008358996920369555,57.0,0.010998680158380994,75.0,0.03182284792491568,217.0,0.945006599208095,6444.0,11429,10795,18,104,96,301,0.9445270802344912,0.0015749409397147608,0.008399685011812057,0.009099658762796396,0.026336512380785722
14,30029,,0.004114045158821278,301.0,0.002596905581980209,190.0,0.006915969602536767,506.0,0.009403531791591493,688.0,0.9769695478650703,71479.0,94696,88370,234,492,2694,1380,0.9331967559347808,0.00247106530370871,0.028448931317056687,0.005195573202669596,0.014572949227000084
15,30031,,0.010910610606128449,731.0,0.008716548008179226,584.0,0.01761220316721145,1180.0,0.006119494320810759,410.0,0.9566411438976701,64094.0,97958,90700,353,1252,3289,818,0.9259070213765083,0.003603585209987954,0.033575614038669634,0.012780987770268891,0.008350517568753955
16,30033,,0.0029055690072639223,6.0,0.011138014527845037,23.0,0.005326876513317191,11.0,0.010169491525423728,21.0,0.9704600484261501,2004.0,1061,1053,0,0,9,0,0.9924599434495759,0.0,0.008482563619227144,0.0,0.0
